V1	V(n001)	Ic(Q1)
Step Information: V2=660m  (Step: 1/9)
3.151729698162977e+00	3.151730e+00	2.329220e-02
3.377940251578601e+00	3.377940e+00	2.334877e-02
3.620386719675114e+00	3.620387e+00	2.340941e-02
3.880234410266609e+00	3.880234e+00	2.347439e-02
4.158732269343915e+00	4.158732e+00	2.354404e-02
4.457218884076144e+00	4.457219e+00	2.361868e-02
4.777128916668441e+00	4.777129e+00	2.369869e-02
5.000000000000000e+00	5.000000e+00	2.375442e-02
Step Information: V2=742.5m  (Step: 4/9)
1.000000000000000e-02	1.000000e-02	-2.624175e-03
1.071773462536293e-02	1.071773e-02	-2.409442e-03
1.148698354997035e-02	1.148698e-02	-2.177985e-03
1.231144413344916e-02	1.231144e-02	-1.928403e-03
1.319507910772894e-02	1.319508e-02	-1.659169e-03
1.414213562373095e-02	1.414214e-02	-1.368609e-03
1.515716566510398e-02	1.515717e-02	-1.054892e-03
1.624504792712471e-02	1.624505e-02	-7.160090e-04
1.741101126592248e-02	1.741101e-02	-3.497578e-04
1.866065983073614e-02	1.866066e-02	4.627959e-05
1.999999999999999e-02	2.000000e-02	4.747593e-04
2.143546925072586e-02	2.143547e-02	9.386009e-04
2.297396709994069e-02	2.297397e-02	1.441014e-03
2.462288826689831e-02	2.462289e-02	1.985530e-03
2.639015821545787e-02	2.639016e-02	2.576029e-03
2.828427124746189e-02	2.828427e-02	3.216778e-03
3.031433133020795e-02	3.031433e-02	3.912461e-03
3.249009585424940e-02	3.249010e-02	4.668212e-03
3.482202253184495e-02	3.482202e-02	5.489653e-03
3.732131966147228e-02	3.732132e-02	6.382907e-03
3.999999999999997e-02	4.000000e-02	7.354631e-03
4.287093850145170e-02	4.287094e-02	8.412006e-03
4.594793419988137e-02	4.594794e-02	9.562730e-03
4.924577653379662e-02	4.924577e-02	1.081496e-02
5.278031643091573e-02	5.278032e-02	1.217722e-02
5.656854249492376e-02	5.656854e-02	1.365824e-02
6.062866266041587e-02	6.062866e-02	1.526672e-02
6.498019170849878e-02	6.498019e-02	1.701093e-02
6.964404506368987e-02	6.964404e-02	1.889821e-02
7.464263932294453e-02	7.464264e-02	2.093422e-02
7.999999999999993e-02	8.000000e-02	2.312193e-02
8.574187700290338e-02	8.574188e-02	2.546027e-02
9.189586839976270e-02	9.189587e-02	2.794239e-02
9.849155306759320e-02	9.849155e-02	3.055351e-02
1.055606328618314e-01	1.055606e-01	3.326839e-02
1.131370849898475e-01	1.131371e-01	3.604869e-02
1.212573253208317e-01	1.212573e-01	3.884073e-02
1.299603834169975e-01	1.299604e-01	4.157484e-02
1.392880901273797e-01	1.392881e-01	4.416793e-02
1.492852786458890e-01	1.492853e-01	4.653120e-02
1.599999999999998e-01	1.600000e-01	4.858383e-02
1.714837540058067e-01	1.714838e-01	5.027012e-02
1.837917367995254e-01	1.837917e-01	5.157341e-02
1.969831061351863e-01	1.969831e-01	5.251913e-02
2.111212657236628e-01	2.111213e-01	5.316441e-02
2.262741699796949e-01	2.262742e-01	5.358032e-02
2.425146506416634e-01	2.425147e-01	5.383538e-02
2.599207668339950e-01	2.599208e-01	5.398582e-02
2.785761802547593e-01	2.785762e-01	5.407270e-02
2.985705572917779e-01	2.985705e-01	5.412347e-02
3.199999999999995e-01	3.200000e-01	5.415511e-02
3.429675080116133e-01	3.429675e-01	5.417747e-02
3.675834735990506e-01	3.675835e-01	5.419593e-02
3.939662122703725e-01	3.939662e-01	5.421325e-02
4.222425314473255e-01	4.222425e-01	5.423077e-02
4.525483399593897e-01	4.525483e-01	5.424915e-02
4.850293012833266e-01	4.850293e-01	5.426870e-02
5.198415336679899e-01	5.198416e-01	5.428961e-02
5.571523605095184e-01	5.571523e-01	5.431200e-02
5.971411145835556e-01	5.971411e-01	5.433600e-02
6.399999999999988e-01	6.400000e-01	5.436171e-02
6.859350160232264e-01	6.859350e-01	5.438927e-02
7.351669471981009e-01	7.351670e-01	5.441881e-02
7.879324245407449e-01	7.879324e-01	5.445047e-02
8.444850628946508e-01	8.444850e-01	5.448440e-02
9.050966799187791e-01	9.050967e-01	5.452077e-02
9.700586025666529e-01	9.700586e-01	5.455975e-02
1.039683067335979e+00	1.039683e+00	5.460153e-02
1.114304721019037e+00	1.114305e+00	5.464630e-02
1.194282229167111e+00	1.194282e+00	5.469429e-02
1.279999999999997e+00	1.280000e+00	5.474572e-02
1.371870032046452e+00	1.371870e+00	5.480085e-02
1.470333894396201e+00	1.470334e+00	5.485993e-02
1.575864849081489e+00	1.575865e+00	5.492325e-02
1.688970125789301e+00	1.688970e+00	5.499111e-02
1.810193359837557e+00	1.810193e+00	5.506385e-02
1.940117205133305e+00	1.940117e+00	5.514181e-02
2.079366134671958e+00	2.079366e+00	5.522536e-02
2.228609442038072e+00	2.228609e+00	5.531491e-02
2.388564458334221e+00	2.388564e+00	5.541088e-02
2.559999999999994e+00	2.560000e+00	5.551375e-02
2.743740064092904e+00	2.743740e+00	5.562399e-02
2.940667788792402e+00	2.940668e+00	5.574215e-02
3.151729698162977e+00	3.151730e+00	5.586879e-02
3.377940251578601e+00	3.377940e+00	5.600452e-02
3.620386719675114e+00	3.620387e+00	5.615000e-02
3.880234410266609e+00	3.880234e+00	5.630591e-02
4.158732269343915e+00	4.158732e+00	5.647301e-02
4.457218884076144e+00	4.457219e+00	5.665211e-02
4.777128916668441e+00	4.777129e+00	5.684406e-02
5.000000000000000e+00	5.000000e+00	5.697779e-02
Step Information: V2=770m  (Step: 5/9)
1.000000000000000e-02	1.000000e-02	-3.416096e-03
1.071773462536293e-02	1.071773e-02	-3.145996e-03
1.148698354997035e-02	1.148698e-02	-2.854440e-03
1.231144413344916e-02	1.231144e-02	-2.539570e-03
1.319507910772894e-02	1.319508e-02	-2.199348e-03
1.414213562373095e-02	1.414214e-02	-1.831532e-03
1.515716566510398e-02	1.515717e-02	-1.433652e-03
1.624504792712471e-02	1.624505e-02	-1.002989e-03
1.741101126592248e-02	1.741101e-02	-5.365414e-04
