time	V(input)	V(nc_01)
2.503034375149572e-03	-3.812877e-04	4.313546e+00
2.522565625149571e-03	-2.826189e-03	4.365717e+00
2.542096875149571e-03	-5.228581e-03	4.413596e+00
2.561628125149571e-03	-7.552331e-03	4.456502e+00
2.581159375149570e-03	-9.762487e-03	4.493830e+00
2.600690625149570e-03	-1.182581e-02	4.525045e+00
2.620221875149569e-03	-1.371125e-02	4.549702e+00
2.639753125149569e-03	-1.539047e-02	4.567439e+00
2.659284375149569e-03	-1.683820e-02	4.577988e+00
2.678815625149568e-03	-1.803267e-02	4.581176e+00
2.698346875149568e-03	-1.895591e-02	4.576930e+00
2.717878125149567e-03	-1.959404e-02	4.565277e+00
2.737409375149567e-03	-1.993745e-02	4.546350e+00
2.756940625149566e-03	-1.998099e-02	4.520387e+00
2.766706250149566e-03	-1.988992e-02	4.504869e+00
2.786237500149566e-03	-1.948382e-02	4.469028e+00
2.805768750149565e-03	-1.878467e-02	4.427198e+00
2.825300000149565e-03	-1.780298e-02	4.379977e+00
2.844831250149565e-03	-1.655352e-02	4.328048e+00
2.864362500149564e-03	-1.505508e-02	4.272178e+00
2.883893750149564e-03	-1.333019e-02	4.213205e+00
2.903425000149563e-03	-1.140481e-02	4.152026e+00
2.922956250149563e-03	-9.307888e-03	4.089579e+00
2.942487500149563e-03	-7.070966e-03	4.026832e+00
2.962018750149562e-03	-4.727690e-03	3.964763e+00
2.981550000149562e-03	-2.313306e-03	3.904342e+00
3.001081250149561e-03	1.358729e-04	3.846519e+00
3.020612500149561e-03	2.583008e-03	3.792201e+00
3.040143750149560e-03	4.991292e-03	3.742240e+00
3.059675000149560e-03	7.324503e-03	3.697418e+00
3.079206250149560e-03	9.547547e-03	3.658435e+00
3.098737500149559e-03	1.162699e-02	3.625895e+00
3.118268750149559e-03	1.353154e-02	3.600295e+00
3.137800000149558e-03	1.523258e-02	3.582024e+00
3.157331250149558e-03	1.670450e-02	3.571349e+00
3.176862500149558e-03	1.792516e-02	3.568418e+00
3.196393750149557e-03	1.887622e-02	3.573255e+00
3.215925000149557e-03	1.954336e-02	3.585762e+00
3.235456250149556e-03	1.991655e-02	3.605720e+00
3.254987500149556e-03	1.999018e-02	3.632796e+00
3.264753125149556e-03	1.991414e-02	3.648870e+00
3.274518750149555e-03	1.976314e-02	3.666550e+00
3.294050000149555e-03	1.923884e-02	3.706438e+00
3.313581250149555e-03	1.842517e-02	3.751830e+00
3.333112500149554e-03	1.733437e-02	3.802014e+00
3.352643750149554e-03	1.598284e-02	3.856213e+00
3.372175000149553e-03	1.439092e-02	3.913594e+00
3.391706250149553e-03	1.258254e-02	3.973288e+00
3.411237500149553e-03	1.058491e-02	4.034394e+00
3.430768750149552e-03	8.428077e-03	4.096004e+00
3.450300000149552e-03	6.144475e-03	4.157208e+00
3.469831250149551e-03	3.768454e-03	4.217112e+00
3.489362500149551e-03	1.335753e-03	4.274848e+00
3.508893750149550e-03	-1.117040e-03	4.329587e+00
3.528425000149550e-03	-3.553031e-03	4.380546e+00
3.547956250149550e-03	-5.935582e-03	4.427001e+00
3.567487500149549e-03	-8.228855e-03	4.468294e+00
3.587018750149549e-03	-1.039836e-02	4.503839e+00
3.606550000149548e-03	-1.241146e-02	4.533131e+00
3.626081250149548e-03	-1.423789e-02	4.555746e+00
3.645612500149548e-03	-1.585016e-02	4.571350e+00
3.665143750149547e-03	-1.722403e-02	4.579704e+00
3.684675000149547e-03	-1.833883e-02	4.580665e+00
3.704206250149546e-03	-1.917781e-02	4.574189e+00
3.723737500149546e-03	-1.972833e-02	4.560335e+00
3.743268750149545e-03	-1.998211e-02	4.539268e+00
3.762800000149545e-03	-1.993535e-02	4.511256e+00
3.782331250149545e-03	-1.958875e-02	4.476674e+00
3.801862500149544e-03	-1.894750e-02	4.435997e+00
3.821393750149544e-03	-1.802128e-02	4.389802e+00
3.840925000149543e-03	-1.682399e-02	4.338756e+00
3.860456250149543e-03	-1.537366e-02	4.283609e+00
3.879987500149543e-03	-1.369209e-02	4.225187e+00
3.899518750149542e-03	-1.180458e-02	4.164374e+00
3.919050000149542e-03	-9.739515e-03	4.102105e+00
3.938581250149542e-03	-7.527962e-03	4.039340e+00
3.958112500149541e-03	-5.203181e-03	3.977057e+00
3.977643750149541e-03	-2.800140e-03	3.916230e+00
3.997175000149540e-03	-3.549813e-04	3.857813e+00
4.016706250149540e-03	2.095516e-03	3.802723e+00
4.036237500149540e-03	4.514495e-03	3.751826e+00
4.055768750149539e-03	6.865572e-03	3.705918e+00
4.075300000149539e-03	9.113384e-03	3.665716e+00
4.094831250149538e-03	1.122412e-02	3.631843e+00
4.114362500149538e-03	1.316604e-02	3.604821e+00
4.133893750149538e-03	1.490993e-02	3.585058e+00
4.153425000149537e-03	1.642956e-02	3.572849e+00
4.172956250149537e-03	1.770207e-02	3.568363e+00
4.192487500149536e-03	1.870833e-02	3.571651e+00
4.212018750149536e-03	1.943319e-02	3.582637e+00
4.231550000149535e-03	1.986576e-02	3.601128e+00
4.251081250149535e-03	1.999954e-02	3.626813e+00
4.270612500149535e-03	1.983250e-02	3.659271e+00
4.290143750149534e-03	1.936716e-02	3.697980e+00
4.309675000149534e-03	1.861053e-02	3.742326e+00
4.329206250149533e-03	1.757397e-02	3.791612e+00
4.348737500149533e-03	1.627308e-02	3.845073e+00
4.368268750149533e-03	1.472743e-02	3.901887e+00
4.387800000149532e-03	1.296027e-02	3.961189e+00
4.407331250149532e-03	1.099817e-02	4.022085e+00
